,prompt,clip_inter
0,"classic oil painting, sci fi beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ","['a man standing on a rock in a mountain valley', ' 8 k matte painting', ' 8k matte painting', ' matte fantasy painting', ' 4 k matte painting', ' luminescent matte painting', ' high fantasy matte painting', ' 3d rendered matte painting', ' beautiful mattepainting', ' matte sharp painting', ' fantasy matte painting', ' digital matte painting', ' sci - fi landscape', ' sci-fi landscape']"
1,"3 panel scene, anime girl sleeps inside a cozy dark room - dramatic cozy arts by wlop and okuda genso. wide angle lens. featured on pixiv, anime aesthetic. pixiv, warm aesthetic, rays of light, volumetric light, artstation, vanitas, official art, gothic, noise film photo. octane render, redshift render, ue 4 ","['a group of people laying on top of a bed', ' guweiz', ' artwork in the style of guweiz', ' guweiz masterpiece', ' guweiz and makoto shinkai', ' guweiz on pixiv artstation', ' soft anime illustration', ' zerochan art', ' guweiz on artstation pixiv', ' anime wallaper', ' anime wallpaper', ' pixiv']"
2,"art by brian reedy, a beautiful black ink linocut print of a giant cacti forest, 8 k, frostbite 3 engine, cryengine, ground level shot, trending on artstation, digital art, crepuscular ray ","['a black and white photo of a person in a desert', ' black and white illustration', ' cacti', ' saguaro', ' cacti everywhere', ' new mexican desert background', ' saguaro cacti', ' cactus', ' high contrast illustrations', ' an illustration', ' inspired by Lotte Reiniger', ' robotic cactus design', ' patchy cactus', ' peyote cactus desert', ' illustration”', ' inky illustration', ' line art illustration']"
3,a portrait painting of ulysses yen ,"['a painting of a man with glasses and a mustache', ' inspired by Ramon Casas i Carbó', ' inspired by József Rippl-Rónai', ' inspired by Théophile Steinlen', ' portrait in the style of craola', ' portrait of sigmund freud', ' inspired by Stanisław Tondos', ' tonalist portrait', ' inspired by Hugo Simberg']"
4,an modern brazilian hotel lobby ,"['a lobby with a chandelier and red couches', ' brightly lit - style atmosphere', ' luxurious indoor setting', ' indoor setting', ' luxurious environment', ' interior photography', ' atrium', ' bright vivid lighting', ' interior', ' vibrant atmosphere', ' confortable atmosphere', ' lounge', ' full - view', ' hotel', ' inside a grand', ' bright lit interiors', ' warm lighting inside', ' warm lighting interior', ' with dramatic lighting', ' thumbnail']"
5,"cute fluffy lion cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ","[""a painting of a lion's face with a long mane"", ' with the mane of a lion', ' the mane of a lion', ' lion head', ' half lion', ' digital art animal photo', ' lion mane', ' lion warrior', ' portrait of a lion', ' face of an lion', ' aslan the lion', ' lionardo davinchi', ' lion', ' hard predatory look', "" lion's mane""]"
6,"a rat kitten, with rat face and cat body, photo taken by a nikon, sharp focus, highly detailed ","[""a close up of a cat on a person's hand"", ' hybrid of mouse and cat', ' mouse face', ' mouse photo', ' elokitty', ' closeup of an adorable', ' mouse', ' pet rat on shoulder', ' cute cat photo', ' an anthropomorphic rat', ' miniature kitten', ' cutest', ' photo of a cat', ' an adorable kitten', ' cuteness', "" disney's bambi cat""]"
7,white chocolate glazed donut with strawberries on a plate with a cup of coffee ,"['a donut with strawberries on a plate next to a cup of coffee', ' blender donut', ' high quality food photography', ' made of glazed', ' donut', ' food photography', ' close up food photography', ' styled food photography', ' next to sliced strawberries', ' glazed', ' professional food photography', ' 4k polymer clay food photography', ' pastries', ' 4 0 9 6', ' pastry', ' jovana rikalo']"
8,"potrait of cross between donald trump and joe biden laughing, menacing teeth, zdzislaw beksinski, lewis jones, dariusz zawadzki, wayne barlow, 4 k, ultra - high - definition, cold hue palette ","['a man with his mouth open and his teeth wide open', ' evil insane smiling laugh', ' mad grin', ' evil crazy laugh', ' evil laugh', ' laughter and screaming face', ' insane crazy laugh', ' laughing man', ' wide evil grin', ' grin', ' evil grin', ' fantasy art smug smile man', ' horrifying grin. horror', ' insane smile', ' hyper realistic absurd', ' evil villain grin', ' laughing', ' (grin)']"
9,"photo illustration comics painting of small scifi machine shop in a shipping container, scifi, cyberpunk, neon lighting, noir, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, artstation hr giger gustave dore ","['a room filled with lots of different types of equipment', ' scifi room', ' ornate cyberpunk interior', ' cyberpunk setting', ' scifi junkshop', ' cyberpunk interior', ' sci - fi interior', ' cyberpunk basement', ' sci fi engine room living room', ' in a cyberpunk themed room', ' cyberpunk childrens bedroom', ' cyberpunk garage on jupiter', ' like a cyberpunk workshop', ' the cyberpunk apartment', ' cyberpunk apartment', ' cyberpunk teenager bedroom']"
10,"a beautiful and highly detailed digital painting of an alien pyramid made of stone bricks in the distance, a lush forest on an alien planet, psychedelic patterns, psychedelic plants and trees, intricate details, epic scale, 8 k, sharp focus, photorealism, artstation, cgsociety, by caspar friedrich, albert bierstadt, james gurney, alex grey, zeen chin, ","['a painting of a man standing in front of a pyramid', ' ayahuasca', ' beeple and jean giraud', ' the ayahuasca spirit', ' ayahuasca ceremony', ' ancient alien jungle', ' dmt temple', ' psytrance artwork', ' dmt art', ' tim white art. 64 megapixels', ' epic shamanic dmt art']"
11,"the squid wearing a santa costume, christmas themed winter background, lobster claws, santa beard, by greg rutkowski and frank frazetta, intricate, artstation, vibrant, cinematic, style of magic : the gathering ","['a painting of a santa claus with a spider on his shoulder', ' by maxim verehin', ' sergey kolesov', ' by Krzysztof Boguszewski', ' santa claus', ' alex andreev', ' by Igor Kufayev', ' by Slawomir Maniak', ' by Anton Fadeev', ' by Ludwik Konarzewski Jr']"
12,"the large cresting waves, dark sky, evoke a sense of wonder, pronounced waves, victo ngai, kilian eng, leonardo da vinci, flat ","['a painting of a wave in the ocean', ' vaporwave surreal ocean', ' vaporwave ocean', ' cresting waves and seafoam', ' rippling oceanic waves', ' green ocean', ' foamy waves', ' ocean waves', ' waves', ' sea waves', ' large waves', ' ocean wave', ' soaring waves', ' detailed sea', ' laurent durieux', ' waves of energy', ' green sea', ' azure waves of water']"
13,"dramatically lit, intricate fractal marble sculpture of an ancient, weathered, mossy tortoise ","['a small turtle sitting on top of a rock', ' aged turtle', ' tortoise', ' world-bearing turtle', ' focus on giant tortoise', ' turtle', ' anthropomorphic turtle', ' smooth carapace', ' extremely detailed and lifelike', ' an anthropomorphic turtle', ' super detailed picture', ' great leviathan turtle', ' carapace', ' as an anthropomorphic turtle', ' the mock turtle']"
14,"teacher villainess, dreamworks official character design sheet turnaround, studio, best on artstation, 4 k hd, by nate wragg ","['a woman in a white shirt and yellow pants', ' 3 d character reference sheet', ' character model sheet turnaround', ' animation character', ' stylized character design', ' reference model sheet', ' character model sheet', ' character turnaround', ' character posing for concept art', ' stylized character', ' character concept model', ' full body character concept', ' fullbody shot turnaround', ' character design for animation', ' model sheet']"
15,"house of the dragon, beautiful landscape, dreamy, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ","['a fantasy castle on a cliff with a mountain in the background', ' 4k fantasy art', ' epic fantasy digital art style', ' 8k fantasy art', ' 4k highly detailed digital art', ' detailed fantasy digital art', ' epic fantasy digital art', ' andreas rocha style', ' epic fantasy artwork', ' unreal engine fantasy art', ' fantasy epic digital art', ' 8k stunning artwork']"
16,"a painting of the cosmic nebula whale by salvador dali, dark fantasy art, high detail, trending on artstation ","['a painting of a whale and a whale floating in space', ' galaxy whale', ' science fantasy painting', ' space whale', ' sky whales', ' epic surrealism 8k oil painting', ' surreal space', ' space magical whale', ' tentacles in universe', ' painting of a dreamscape', ' astral plane', ' in the astral plane ) ) )', ' whirling nebulas', ' science fiction painting', ' cosmic horror painting']"
17,photograph of donald trump's human skin beginning to crack. ,"['a black and white photo of a man in a suit and tie', ' photo of donald trump', "" donald trump's face"", ' portrait of donald trump', ' donald trumps sexy face', ' portrait of trump', ' handsome donald trump', ' donald trump face', ' donald trump', ' donald trump ’ s face', ' with donald trump', ' donald trump crying', ' president donald trump', ' looking this way']"
