,prompt,open_clip
0,"a painting of the cosmic nebula whale by adolph menzel, dark fantasy art, high detail, trending on artstation ",a painting of two whales swimming in the ocean . 
1,eminem eating candy floss in the desert ,a blurry picture of a person wearing a t - shirt . 
2,"greg manchess oil matte portrait painting, ragdoll cat with a crown in an arena wonderful masterpiece highly detailed, scifi, beautiful cinematic light deep focus, elegant, digital painting, smooth, sharp focus, golden ratio, dramatic illumination, ultra realistic, 4 k, art by greg rutkowski wlop rossdraws ",a fluffy cat is sitting on the ground . 
3,old polaroid photograph of satan inside the white house ,an old photo of a man in a black suit . 
4,"emmanuel macron in his office, herculean, bulging muscular figure, beautiful gigachad, soft lighting, highly detailed face, sharp focus, artstation, sophie anderson, arnold armitage, loish, thomas kinkade ",an oil painting of a man in a suit and tie . 
5,[ woman in a crown and dismal [ supervillain outfit made of flesh ]! ]! ascending [ her hands upward ]! on a detailed ruined throne trending on artstation 4 k quality cgsociety contest winner artstation hd artstation concept art behance tarot card gloomy grim dismal bleakness barrenness intricate minutia details uhd wide - screen ,a painting of a woman wearing a crown sitting on a throne . 
6,"birdview, copenhagen roofs, wizard writes a book, nordic pastel colors, abandoned railroads, 3 d art, digital illustration, perfect lighting ",an aerial view of a bunch of buildings with red roofs . 
7,a photo of a snow owl! and grizzly bear hybrid creature concept ,a white owl is standing in the snow . 
8,"face portrait of a little girl with large alien eyes standing in front of large alien space ship, very detailed, annie leibovitz ",a young girl in a white dress with her hands clasped . 
9,"portrait, muscular gladiator donald trump warrior, heavy bronze breastplate, by donato giancola, wayne reynolds, jeff easley dramatic light, high detail, cinematic lighting, artstation, dungeons and dragons, in the mountains ",a painting of a man on a horse . 
10,"skinny half - orc, warrior, art by artgerm and greg rutkowski and magali villeneuve, leatherarmor, brownhair, d & d, fantasy, portrait, highly detailed, headshot, digital painting, trending on artstation, concept art, sharp focus, illustration ",an image of an evil looking man with horns . 
11,"sky docks, sci fi environment, colors, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",an oil painting of a sunset over a mountain . 
12,photo of gigantic beagle similar size as godzilla ,a dog with a red leash is walking down the street . 
13,underground spaceship ,looking down at a circular tunnel in a building . 
